type,id,sha256,file_name,file_type,domain,ip,gti_score,positives,tags
domain,athoughtprocess.com,,,,,,100,2,
domain,b.pdf-fast.com,,,,,,100,5,
domain,d.pdf-fast.com,,,,,,100,2,
domain,everviaf.com,,,,,,100,2,
domain,letscompress.com,,,,,,75,12,
domain,letscompress.online,,,,,,75,10,
domain,pdf-fast.com,,,,,,100,3,
domain,pdf-fast.online,,,,,,100,1,[self-signed]
domain,pdf-maker.online,,,,,,100,1,
domain,pdf-win.com,,,,,,100,1,
domain,pdf-win.online,,,,,,100,1,
domain,pdfflip.net,,,,,,100,1,
domain,pdfflip.online,,,,,,100,1,
domain,pdfpdffast.com,,,,,,100,1,
domain,pdfpdffast.online,,,,,,100,1,
domain,r.pdf-fast.com,,,,,,100,3,
domain,runpdfflip.com,,,,,,100,1,[dga]
domain,searchinglibrary.com,,,,,,100,3,
domain,searchshines.com,,,,,,100,1,
domain,searchsnfinds.com,,,,,,100,5,
domain,varendot.com,,,,,,100,5,
domain,webfreepdf.com,,,,,,100,1,
domain,www.athoughtprocess.com,,,,,,100,1,
domain,zip-it-now.com,,,,,,100,12,
domain,zip-it-now.online,,,,,,100,1,
url,https://varendot.com/lenCatch.txt,,,,varendot.com,,100,5,[external-resources]
url,https://pdf-fast.com/downloads/PDFast.exe,,,,pdf-fast.com,,100,2,[external-resources]
url,https://varendot.com/pdf.bin,,,,varendot.com,,100,5,
ip_address,66.198.240.48,,,,,,20,,
file,053b80bd6a6b47fd74af194b731a2f8d30284981ab5a8e25a3ca839ab2804afd,053b80bd6a6b47fd74af194b731a2f8d30284981ab5a8e25a3ca839ab2804afd,[c:\users\user\appdata\roaming\pdfast\pdfast 1.0.0\install\ca604da\pdfast.msi c:\windows\installer\50a478.msi c:\users\<user>\appdata\roaming\pdfast\pdfast 1.0.0\install\ca604da\pdfast.msi pdfast.msi],[installer msi windows],,,1,,[revoked-cert msi calls-wmi long-sleeps detect-debug-environment checks-usb-bus signed]
file,103c8764f8af476e8801c03a03969f388133b8586de93b13fcba52bf1772c8e5,103c8764f8af476e8801c03a03969f388133b8586de93b13fcba52bf1772c8e5,[pdfast.exe pdfast-1.0.2.exe pdfast],[peexe pe executable win32 windows],,,30,7,[checks-usb-bus revoked-cert peexe calls-wmi checks-user-input signed long-sleeps overlay detect-debug-environment]
file,145081d74646f796d1a96c0ffcd89d71497d9d7db99a94fc30c7bc6cb1f2bd91,145081d74646f796d1a96c0ffcd89d71497d9d7db99a94fc30c7bc6cb1f2bd91,[pdfast.exe 686926b4710ba09d1453e7fb968c416c68063872.exe pdfast],[windows executable peexe win32 pe],,,30,28,[calls-wmi overlay signed checks-usb-bus peexe revoked-cert checks-user-input detect-debug-environment long-sleeps]
file,19959fc32b93ef4776f86690eeff85e86f6d09717301fb74ec2fc86e7aec7d78,19959fc32b93ef4776f86690eeff85e86f6d09717301fb74ec2fc86e7aec7d78,[c:\windows\installer\471a45.msi pdfast.msi c:\users\user\appdata\roaming\pdfast\pdfast 1.0.2\install\pdfast.msi 61a37a9.msi \\?\c:\users\<user>\appdata\roaming\pdfast\pdfast 1.0.2\install\pdfast.msi],[installer windows msi],,,1,,[msi long-sleeps detect-debug-environment revoked-cert checks-usb-bus calls-wmi signed]
file,1b280bd0c3cbe445942380f42da50cf75c5e74d0e96c45e05e1f7b409d3dbba8,1b280bd0c3cbe445942380f42da50cf75c5e74d0e96c45e05e1f7b409d3dbba8,[c:\windows\installer\69804d.msi \\?\c:\users\<user>\appdata\roaming\pdfast\pdfast 1.0.0\install\pdfast.msi c:\users\user\appdata\roaming\pdfast\pdfast 1.0.0\install\pdfast.msi 1bc3048e.msi pdfast.msi],[installer msi windows],,,1,,[checks-usb-bus msi long-sleeps signed revoked-cert detect-debug-environment calls-wmi]
file,417dea4ed59c084036bf7033f72aca9b07a4d8680fb631c7b0d53518deac15d6,417dea4ed59c084036bf7033f72aca9b07a4d8680fb631c7b0d53518deac15d6,[upd._exe_ microsoft defender update.exe upd.exe c:\users\user\appdata\roaming\pdfast\pdfast 1.0.2\install\10a88f8\upd.exe c:\users\<user>\appdata\roaming\pdfast\pdfast 1.0.2\install\10a88f8\upd.exe c:\users\dpheb\appdata\roaming\pdfast\upd.exe 417dea4ed59c084036bf7033f72aca9b07a4d8680fb631c7b0d53518deac15d6.bin c:\users\stigura\appdata\roaming\pdfast\upd.exe],[executable pe windows win32 peexe],,,30,27,[signed calls-wmi overlay checks-user-input revoked-cert detect-debug-environment peexe]
file,464839161c13a65252341bc9a2d6bb1b36eed1d42bcf24186e5f5284b6ef3423,464839161c13a65252341bc9a2d6bb1b36eed1d42bcf24186e5f5284b6ef3423,[c:\users\jefferysmith\appdata\roaming\pdfast\upd.exe upd.exe c:\users\user\appdata\roaming\pdfast\pdfast 1.0.0\install\ca604da\upd.exe c:\users\jnanderson\appdata\roaming\pdfast\upd.exe 464839161c13a65252341bc9a2d6bb1b36eed1d42bcf24186e5f5284b6ef3423-dropped.bin c:\users\scottnewell\appdata\roaming\pdfast\upd.exe c:\users\micca\appdata\roaming\pdfast\upd.exe c:\users\<user>\appdata\roaming\pdfast\pdfast 1.0.0\install\ca604da\upd.exe],[win32 peexe executable windows pe],,,30,27,[peexe idle revoked-cert overlay calls-wmi signed detect-debug-environment]
file,48bc21893966c777898b86344daed6f8489dc448bc0eaba59e9b9ddbb46f4c7f,48bc21893966c777898b86344daed6f8489dc448bc0eaba59e9b9ddbb46f4c7f,[/home/petik/ss/malware/2025-05-13_d74c1ad59e420a793eeeaf2765fa607a_amadey_black-basta_darkgate_elex_luca-stealer pdfrefresh.exe %appdata%\pdfmaker\pdfrefresh.exe],[peexe executable win32 pe windows],,,30,25,[peexe signed detect-debug-environment idle overlay calls-wmi]
file,4d85e0d24d30af7c375168ec0aa02341fe6eeb00210d2f50498849bef64f9627,4d85e0d24d30af7c375168ec0aa02341fe6eeb00210d2f50498849bef64f9627,[pdfast.exe c:\users\tx\desktop\pdfast (1).exe pdfast],[windows win32 pe peexe executable],,,30,18,[cve-2005-0068 detect-debug-environment revoked-cert overlay calls-wmi checks-usb-bus cve-2004-0790 cve-2015-7759 exploit peexe long-sleeps cve-2004-1060 signed]
file,4f3a8d56a20474eb3962457689614d2360b99f6d034a60d207550abac99896a2,4f3a8d56a20474eb3962457689614d2360b99f6d034a60d207550abac99896a2,[download.exe pdf.exe],[windows executable win32 peexe pe],,,100,3,[overlay detect-debug-environment 64bits long-sleeps calls-wmi peexe revoked-cert signed]
file,51f3f27b6b54684b015f477eb932a6071c58ea74d72dd06a3b409556788b601a,51f3f27b6b54684b015f477eb932a6071c58ea74d72dd06a3b409556788b601a,[c:\users\tx\desktop\pdfast (2).exe pdfast.exe pdfast],[executable peexe pe windows win32],,,30,22,[detect-debug-environment signed cve-2004-0790 peexe revoked-cert cve-2005-0068 cve-2015-7759 overlay long-sleeps calls-wmi exploit cve-2004-1060 checks-usb-bus]
